NAME,suffix,lon,lat
Sankt Corneli,Sankt-,-284599.525,240777.163
Sankt Georgen,Sankt-,-207058,213177
Sankt Michael,Sankt-,-141729.026,223608.417
Sankt Georgen,Sankt-,-34688,238786
Sankt Georgen am Fillmannsbach,Sankt-,-23497,332045
Sankt Peter am Hart,Sankt-,-17591,346257
Sankt Ulrich,Sankt-,-5972,319604
Sankt Laurenz,Sankt-,-7694,345028
Sankt Gilgen,Sankt-,2474,292019
Sankt Georgen im Gailtal,Sankt-,20207,162716
Sankt Martiner Aineckhütte,Sankt-,24503.344,214769.376
Sankt Margarethen im Lungau,Sankt-,27508,215689
Sankt Aegidi,Sankt-,29903,371307
Sankt Oswald bei Haslach,Sankt-,51496,387024
Sankt Stefan,Sankt-,56385,176538
Sankt Georgen ob Murau,Sankt-,58201,218755
Sankt Margarethen,Sankt-,66766,157735
Sankt Nikolai,Sankt-,67367,161661
Sankt Nikola,Sankt-,68566,316171
Sankt Ruprecht,Sankt-,75113,164119
Sankt Georgen an der Gusen,Sankt-,82740,348706
Sankt Martin,Sankt-,85834.509,173311.878
Sankt Peter,Sankt-,88422,164208
Sankt Valentin,Sankt-,89276,338098
Sankt Kanzian am Klopeiner See,Sankt-,95248,164784
Sankt Margarethen ob Töllerberg,Sankt-,94872,171501
Klein Sankt Veit,Sankt-,92689,176923
Sankt Johann am Pressen,Sankt-,95154,203881
Sankt Lorenzen,Sankt-,97237,166622
Sankt-Bernhardi-Hütte,Sankt-,106198.517,242687.239
Mitter Sankt Thomas,Sankt-,106910.164,353284.596
Bad Sankt Leonhard im Lavanttal,Sankt-,110837,203698
Sankt Marein bei Knittelfeld,Sankt-,115534,237728
Sankt Martha,Sankt-,115066,238630
Sankt Georgen am Reith,Sankt-,115683,301338
Sankt Jakob,Sankt-,119137.773,384915.395
Sankt Laurenti,Sankt-,124603,263783
Sankt Martin am Ybbsfelde,Sankt-,125447,337611
Sankt Oswald in Freiland,Sankt-,134738,195960
Sankt Oswald ob Eibiswald,Sankt-,138593,175815
Sankt Stefan ob Stainz,Sankt-,146408,200750
Sankt Sebastian,Sankt-,148317,295439
Sankt Martin,Sankt-,156264.386,212805.535
Sankt Lorenzen im Mürztal,Sankt-,153594,262384
Sankt Michael,Sankt-,156014,361376
Sankt Veit,Sankt-,157723,221742
Sankt Gotthard,Sankt-,157898,221125
Sankt Leonhard,Sankt-,161943,217699
Sankt Georgen an der Stiefing,Sankt-,171205,195414
Sankt Anna,Sankt-,177176,201119
Sankt Andrä an der Traisen,Sankt-,176829,353866
Sankt Johann,Sankt-,182254.681,365071.226
Sankt Kind,Sankt-,198346,215351
Sankt Peter am Wechsel,Sankt-,202029,271494
Sankt Ulrich,Sankt-,254495,391814
Sankt Gallenkirch,Sankt-,-255318,214530
Sankt Quirin,Sankt-,-160399,233552
Sankt Oswald,Sankt-,-65059.525,177965.943
Sankt Ulrich am Pillersee,Sankt-,-57317.782,265935.555
Sankt Martin bei Lofer,Sankt-,-47107,269865
Sankt Georgen,Sankt-,-37000.511,186998.188
Sankt Leonhard,Sankt-,-21575,287576
Sankt Lorenz,Sankt-,1775,298233
Sankt Martin im Innkreis,Sankt-,7930,350622
Sankt Wolfgang,Sankt-,13409,185191
Sankt Georgen im Attergau,Sankt-,11806,310601
Sankt Marienkirchen am Hausruck,Sankt-,18385,338179
Sankt Nikolai,Sankt-,21899,203404
Sankt Martin,Sankt-,24456,217977
Sankt Willibald,Sankt-,26142,358161
Sankt Peter in Tweng,Sankt-,30082,184539
Sankt Johann,Sankt-,52983,158373
Sankt Martin im Mühlkreis,Sankt-,52229,364481
Sankt Nikolai,Sankt-,56630,172007
Sankt Stefan am Walde,Sankt-,56813,381342
Sankt Lorenzen ob Murau,Sankt-,57733,218113
Sankt Anna,Sankt-,64449,163560
Klein Sankt Veit,Sankt-,63800,173411
Sankt Peter am Kammersberg,Sankt-,64683,227929
Sankt Gandolf,Sankt-,66430.128,174765.605
Sankt Egidi,Sankt-,64896,219486
Sankt Gandolf,Sankt-,69533,158149
Sankt Isidor,Sankt-,69291,347742
Sankt Veiter Vorstadt,Sankt-,73957,166574
Sankt Johann,Sankt-,86885,167997
Sankt Martin am Silberberg,Sankt-,92317,205873
Sankt Peter ob Judenburg,Sankt-,95083,228185
Sankt Wolfgang,Sankt-,98823,218390
Sankt Anna am Lavantegg,Sankt-,102949,212050
Sankt Peter am Wallersberg,Sankt-,103991,169216
